NO,KR_NAME,EN_NAME,DRCTR,MAKR,INCME,DISTB,MK_DATE,COUNTRY,SCRN_COUNT,VIEW_COUNT,GENRE,GRAND,POSTER,TRAILER,STORY,RUN_TIME
1,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,Crayon Shin-chan: School Mystery! The Splendid Tenkasu Academy,타카하시 와타루,N/A,(주)씨제이이엔엠,(주)씨제이이엔엠,2022-09-28,JP,873,0,애니메이션,ALL,Crayon Shin chan School Mystery The Splendid Tenkasu Academy.webp,"https://youtu.be/qAPdFL_Z1ck, https://youtu.be/tXcUGLKJpx4",AI 스마티가 통치하는 엘리트 양성 사립 명문 학교. 천하제일 떡잎마을 학교 일명 천하떡잎학교.이곳에서 학생회장 은질주의 안내와 함께 1주일 체험 입학을 하게 된 떡잎마을 방범대 친구들. 체험 입학 기간 동안 좋은 성적을 거두면 무려 정식으로 입학할 수 있다는 말을 들은 철수는 남몰래 모두 함께 입학하는 꿈을 품고 열심히 힘을 합쳐 생활하려 하지만...,105
2,에브리씽 에브리웨어 올 앳 원스,Everything Everywhere All at Once,"다니엘 콴,다니엘 쉐이너트",N/A,(주)더쿱디스트리뷰션,워터홀컴퍼니(주),2022-10-12,EN,620,0,액션,R15,Everything Everywhere All at Once.webp,"https://youtu.be/DVK6DvCwAGc, https://youtu.be/vOXJySPfMJY","미국에 이민 와 힘겹게 세탁소를 운영하던 에블린은 세무당국의 조사에 시달리던 어느 날 남편의 이혼 요구와 삐딱하게 구는 딸로 인해 대혼란에 빠진다. 그 순간 에블린은 멀티버스 안에서 수천, 수만의 자신이 세상을 살아가고 있다는 사실을 알게 되고 그 모든 능력을 빌려와 위기의 세상과 가족을 구해야 하는 운명에 처한다.",150
3,오펀: 천사의 탄생,Orphan: First Kill,윌리엄 브렌트 벨,N/A,(주)퍼스트런,메가박스중앙(주),2022-10-12,EN,707,0,공포(호러),R15,Orphan First Kill.webp,https://youtu.be/hvNlcRqSsFg,"에스토니아 정신병원 탈출 후, 미국으로 건너와 어느 부유한 가족과 만나 그들의 잃어버린 딸 행세를 하는 에스더와 그녀의 잔혹한 연대기의 시작을 알리는 작품. '오펀: 천사의 비밀' 프리퀄 버전",98
4,스마일,Smile,파커 핀,N/A,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2022-10-06,EN,455,0,미스터리,R18,Smile.webp,"https://youtu.be/xiRLnZSNfzY, https://youtu.be/lAkHJZc5CsQ",그들이 저를 보며 웃고 있어요 기괴한 미소를 지으며 자신의 눈 앞에서 목숨을 끊는 환자를 목격한 정신과 의사 로즈. 그날 이후로 로즈의 일상에 설명할 수 없는 끔찍한 일들이 잇따라 발생한다. 일상을 덮친 공포에 발버둥치던 로즈는 이전에도 자신과 같은 일을 겪은 사람들이 있었고그들 모두 끔찍한 죽음을 피할 수 없었다는 사실을 알게 된다. 시시각각 다가오는 죽음에서 벗어나기 위해 사투를 벌이던 로즈는 잊고 싶던 과거와 마주하게 되는데… 너도 곧 웃게 될 거야,115
5,아바타 리마스터링,Avatar,제임스 카메론,N/A,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-09-21,EN,285,0,SF,R12,Avatar.webp,https://youtu.be/IZpaMT1H85o,"인류의 마지막 희망, 행성 판도라! 이곳을 정복하기 위한 아바타 프로젝트가 시작된다! 가까운 미래, 지구는 에너지 고갈 문제를 해결하기 위해 머나먼 행성 판도라에서 대체 자원을 채굴하기 시작한다. 하지만 판도라의 독성을 지닌 대기로 인해 자원 획득에 어려움을 겪게 된 인류는 판도라의 토착민 나비족의 외형에 인간의 의식을 주입, 원격 조종이 가능한 새로운 생명체 아바타를 탄생시키는 프로그램을 개발한다.",166
6,대무가,Daemuga,이한종,(주)쿠키픽쳐스,N/A,"판씨네마(주),(주)케이티알파",2022-10-12,KR,587,0,드라마,R15,Daemuga.webp,"https://youtu.be/CnKvxceiahA, https://youtu.be/_oM4rJb-D84",쇼타임! 신들린 무당들의 통쾌한 한.판.대.결! 유아독존 신빨 대신 술빨로 버티는 40대 마성의 무당 마성준 백발백중 1타 무당을 꿈꾸며 역술계를 평정한 30대 스타트업 무당 청담도령 인생역전 갓생을 노리며 10주 완성 무당학원을 등록한 20대 취준생 무당 신남 신빨 떨어진 무당들이 용하다 소문난 전설의 대무가 비트로 뭉쳤다!,107
7,티켓 투 파라다이스,Ticket to Paradise,올 파커,N/A,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-10-12,EN,581,0,멜로/로맨스,R12,Ticket to Paradise.webp,https://youtu.be/JiIEQY7WVbs,"사랑은 돌아오는 거야~ 돌싱글즈에게 찾아온 U턴 로맨스 한때, 미치게 사랑했지만 지금은 인생의 원수가 되어버린 이혼한 부부 조지아와 데이빗. 대학을 졸업하고 변호사로 대형 로펌 입사를 앞둔 딸 릴리가 여행지 발리에서 만난 운명 같은 사랑과 결혼을 선포하자 딸이 자신들과 같은 실수를 반복하는 걸 볼 수 없는 그들은 어쩔 수 없이 동맹을 맺고 결혼을 막으려는 계획을 세우게 된다. 그러나 거듭되는 작전에도 불구하고 딸 릴리의 결혼식은 순조롭게만 진행되고 같은 목표를 향해 합심하는 이들도 서로에게 조금씩 감정의 변화가 생기게 되는데…",104
8,스파이더맨: 노 웨이 홈 '펀버전',Spider-Man: No Way Home,존 왓츠,N/A,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022-10-05,EN,347,0,액션,R12,Spider Man No Way Home.webp,https://youtu.be/yFZh-Wqi7RI,미스테리오의 계략으로 세상에 정체가 탄로난 스파이더맨 피터 파커는 하루 아침에 평범한 일상을 잃게 된다. 문제를 해결하기 위해 닥터 스트레인지를 찾아가 도움을 청하지만 뜻하지 않게 멀티버스가 열리면서 각기 다른 차원의 불청객들이 나타난다. 닥터 옥토퍼스를 비롯해 스파이더맨에게 깊은 원한을 가진 숙적들의 강력한 공격에 피터 파커는 사상 최악의 위기를 맞게 되는데…,148
9,신 에반게리온 극장판,Evangelion: Thrice Upon a Time,안노 히데아키,N/A,미라지엔터테인먼트,(주)라이크콘텐츠,2022-10-05,JP,93,0,애니메이션,R15,Evangelion Thrice Upon a Time.webp,https://youtu.be/WU-x7lR_ans,안녕 모든 에반게리온.,155
10,탑건: 매버릭,Top Gun: Maverick,조셉 코신스키,N/A,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2022-06-22,EN,0,0,액션,R12,Top Gun Maverick.webp,"https://youtu.be/dsyVH19Lfeo, https://youtu.be/0C-21OGwMd0, https://youtu.be/Mrj9XACVJ8U",한순간의 실수도 용납되지 않는 하늘 위 가장 압도적인 비행이 시작된다! 최고의 파일럿이자 전설적인 인물 매버릭은 자신이 졸업한 훈련학교 교관으로 발탁된다. 그의 명성을 모르던 팀원들은 매버릭의 지시를 무시하지만 실전을 방불케 하는 상공 훈련에서 눈으로 봐도 믿기 힘든 전설적인 조종 실력에 모두가 압도된다. 매버릭의 지휘 아래 견고한 팀워크를 쌓아가던 팀원들에게 국경을 뛰어넘는 위험한 임무가 주어지자 매버릭은 자신이 가르친 동료들과 함께 마지막이 될지 모를 하늘 위 비행에 나서는데…,130
